,mmq,wxy,yz
22:00,8153516,7523320,3772914
22:05,8162388,7533882,3774739
22:10,8167558,7538316,3777437
22:15,8173872,7543239,3779149
22:20,8180572,7548175,3781263
22:25,8186442,7553195,3783505
22:30,8192914,7558511,3785568
22:35,8204585,7568384,3787475
22:40,8214927,7575351,3789575
22:45,8225724,7580615,3791639
22:50,8236707,7585699,3793349
22:55,8247024,7590979,3795215
23:00,8255808,7595716,3796854
23:05,8259463,7600165,3799054
23:10,8260787,7608808,3800984
23:15,8266710,7610402,3803303
23:20,8277921,7611721,3806271
23:25,8291251,7612941,3808306
23:30,8307245,7614643,3810290
23:35,8322105,7615565,3811884
23:40,8335368,7620243,3813890
23:45,8349469,7630048,3814133
23:50,8363786,7639489,3816150
23:55,8377489,7647715,3818237
00:00,8389951,7656897,3820861
00:05,8404315,7666007,3822575
00:10,8418902,7671649,3824642
00:15,8433346,7678387,3827043
00:20,8446711,7681077,3828972
00:25,8451428,7682054,3830819
00:30,8460393,7689367,3832345
00:35,8467808,7697398,3834474
00:40,8475607,7705486,3836640
00:45,8483340,7713894,3838740
00:50,8490804,7722288,3840352
00:55,8498986,7730061,3841645
01:00,8507773,7737877,3843657
01:05,8516261,7745585,3845360
01:10,8524564,7753380,3846798
01:15,8533134,7761116,3848336
01:20,8541544,7768839,3849733
01:25,8549936,7776601,3851209
01:30,8558494,7784239,3853023
01:35,8566945,7791757,3854622
01:40,8575608,7799179,3855726
01:45,8584133,7806633,3857247
01:50,8592807,7813926,3858980
01:55,8601577,7821493,3860251
02:00,8610129,7828691,3862170
02:05,8619014,7835884,3863972
02:10,8627782,7843147,3865423
02:15,8636383,7850630,3867091
02:20,8644698,7857833,3868739
02:25,8653388,7865131,3870566
02:30,8659322,7872227,3872271
02:35,8664944,7879597,3873599
02:40,8670432,7886807,3875171
02:45,8676085,7894005,3876768
02:50,8681629,7901161,3878425
02:55,8687093,7908447,3879648
03:00,8692597,7915600,3881163
03:05,8697741,7922646,3882505
03:10,8703037,7929846,3884310
03:15,8708277,7937111,3886024
03:20,8713457,7944301,3887611
03:25,8718641,7951294,3889096
03:30,8723899,7958185,3890394
03:35,8729345,7965187,3892192
03:40,8734645,7972116,3893884
03:45,8739951,7979159,3895621
03:50,8745471,7986093,3897230
03:55,8750719,7992935,3898859
04:00,8756051,7999703,3900137
04:05,8761439,8006425,3901451
04:10,8766687,8013192,3902938
04:15,8771978,8019960,3904433
04:20,8777339,8026742,3905579
04:25,8782797,8033470,3907212
04:30,8788165,8040224,3908716
04:35,8793848,8046908,3910553
04:40,8799568,8053654,3912149
04:45,8805330,8060371,3913826
04:50,8810996,8066987,3915488
04:55,8816773,8073709,3916858
05:00,8822584,8080375,3918343
05:05,8828272,8087050,3920051
05:10,8834056,8093716,3921505
05:15,8839544,8100441,3922878
05:20,8845335,8107083,3924434
05:25,8850967,8113725,3926154
05:30,8856684,8120279,3928046
05:35,8862372,8126893,3929768
05:40,8868297,8133431,3931724
05:45,8874077,8139961,3933545
05:50,8879831,8146514,3935065
05:55,8885417,8153098,3936688
06:00,8891051,8159572,3938268
06:05,8896743,8166076,3940097
06:10,8902412,8172502,3941434
06:15,8908116,8179073,3942710
06:20,8914018,8185582,3944143
06:25,8919880,8192103,3945807
06:30,8925605,8198609,3947376
06:35,8931303,8204978,3949203
06:40,8936950,8211354,3950854
06:45,8942640,8217961,3952721
06:50,8948383,8224432,3954526
06:55,8954046,8230881,3956041
07:00,8959814,8237255,3957643
07:05,8965779,8243817,3959306
07:10,8971778,8250313,3960898
07:15,8977525,8257061,3962459
07:20,8983524,8263816,3964147
07:25,8989216,8270478,3966275
07:30,8994994,8277089,3968614
07:35,9000861,8283741,3970567
07:40,9006679,8290173,3972368
